playlist_name,num_tracks,track_name,track_duration,track_explicit,track_popularity,acousticness,danceability,energy,instrumentalness,key,loudness,mode,tempo,valence,artist1_name,artist2_name,artist3_name,album_name,album_type,album_popularity,album_release_date,genres,pop,indie,rock,edm,hip hop,dance,avg_artist_following,avg_artist_popularity,single
FIFA 19 Soundtrack,44,"Good to Be Home (feat. Tom Misch, Loyle Carner & Rebel Kleff)",263089,0,52,0.301,0.892,0.685,0.0007440000000000001,10,-4.906000000000001,0,95.958,0.61,Barney Artist,,,"Good to Be Home (feat. Tom Misch, Loyle Carner & Rebel Kleff)",single,45,2018-10-03,"['indie r&b', 'indie soul', 'uk alternative hip hop']",0,1,0,0,1,0,29639.0,48.0,1
FIFA 19 Soundtrack,44,Sway,210773,0,0,0.205,0.755,0.6940000000000001,0.0008230000000000001,8,-5.361000000000001,1,120.05799999999999,0.531,Tove Styrke,,,Sway,album,0,2018-05-04,"['dance pop', 'electropop', 'indie poptimism', 'swedish electropop', 'swedish pop', 'swedish synthpop']",1,1,0,1,0,1,133757.0,61.0,0
FIFA 19 Soundtrack,44,"1,000 Opera Singers Working in Starbucks - Radio Edit",212183,0,36,0.069,0.332,0.8079999999999999,0.000217,2,-6.1979999999999995,1,143.97799999999998,0.431,Wovoka Gentle,,,"1,000 Opera Singers Working in Starbucks (Radio Edit)",single,29,2018-09-21,[],0,0,0,0,0,0,4539.0,37.0,1
FIFA 19 Soundtrack,44,Musika,210731,0,33,0.0031100000000000004,0.645,0.953,0.16399999999999998,6,-6.039,0,123.014,0.652,Yolanda Be Cool,Kwanzaa Posse,,Musika,single,26,2018-03-02,"['australian dance', 'australian house', 'bass house']",0,0,0,1,0,1,15742.5,40.5,1
FIFA 19 Soundtrack,44,Border Girl,241021,0,40,0.462,0.581,0.435,0.529,8,-8.17,1,105.601,0.447,Young Fathers,,,Cocoa Sugar,album,49,2018-03-09,"['abstract hip hop', 'chamber psych', 'escape room', 'ninja', 'scottish hip hop']",0,0,0,0,1,0,136261.0,50.0,0
FIFA 19 Soundtrack,44,Top Boy,161379,1,30,0.0858,0.828,0.831,0.0,9,-6.892,0,145.059,0.7240000000000001,Eyez,,,Square One,album,29,2018-02-16,"['grime', 'uk hip hop']",0,0,0,0,1,0,9762.0,45.0,0
FIFA 16 Soundtrack,40,Darkest Ocean - Radio Edit,222089,0,39,0.00158,0.611,0.8540000000000001,0.000171,2,-3.928,1,124.042,0.265,All Tvvins,,,Darkest Ocean (Radio Edit),single,32,2015-09-11,['irish pop'],1,0,0,0,0,0,21911.0,41.0,1
FIFA 16 Soundtrack,40,A Little Bit Of Fear,228468,0,38,0.0037700000000000003,0.6659999999999999,0.84,0.00264,10,-8.292,1,119.99600000000001,0.659,April Towers,,,A Little Bit Of Fear,single,31,2015-07-15,['nottingham indie'],0,1,0,0,0,0,2161.0,25.0,1
FIFA 16 Soundtrack,40,Stockholm,191640,0,38,0.0054,0.568,0.746,0.0,7,-5.437,1,125.04,0.409,Atlas Genius,,,Stockholm,single,31,2015-07-17,"['indie pop', 'indie poptimism', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'pop rock', 'shimmer pop']",1,1,1,0,0,0,294277.0,55.0,1
FIFA 16 Soundtrack,40,Conqueror,207506,0,0,0.00525,0.47100000000000003,0.551,0.00158,7,-6.766,1,183.96,0.52,AURORA,,,Conqueror,single,0,2016-01-15,['norwegian pop'],1,0,0,0,0,0,982794.0,73.0,1
